"long","lat","n","cat"
-103.374371859296,20.570351758794,11.1152655350143,"Muy alta"
-103.372361809045,20.570351758794,10.8736907533039,"Muy alta"
-103.370351758794,20.570351758794,10.6423203278273,"Muy alta"
-103.368341708543,20.570351758794,10.4202555802995,"Muy alta"
-103.366331658291,20.570351758794,10.2067280902847,"Muy alta"
-103.36432160804,20.570351758794,10.0010819209565,"Muy alta"
-103.362311557789,20.570351758794,9.80275695451928,"Muy alta"
-103.360301507538,20.570351758794,9.61127373816271,"Muy alta"
-103.358291457286,20.570351758794,9.42622002682128,"Muy alta"
-103.356281407035,20.570351758794,9.24723906271993,"Muy alta"
-103.354271356784,20.570351758794,9.07401953455701,"Muy alta"
-103.352261306533,20.570351758794,8.90628710154579,"Muy alta"
-103.350251256281,20.570351758794,8.74379733252954,"Muy alta"
-103.34824120603,20.570351758794,8.58632989797752,"Muy alta"
-103.346231155779,20.570351758794,8.43368384960286,"Muy alta"
-103.344221105528,20.570351758794,8.28567383001609,"Muy alta"
-103.342211055276,20.570351758794,8.14212706552644,"Muy alta"
-103.340201005025,20.570351758794,8.002881010686,"Muy alta"
-103.338190954774,20.570351758794,7.86778152721854,"Muy alta"
-103.336180904523,20.570351758794,7.73668149674086,"Muy alta"
-103.334170854271,20.570351758794,7.60943978034993,"Muy alta"
-103.33216080402,20.570351758794,7.48592045226542,"Muy alta"
-103.330150753769,20.570351758794,7.36599224644397,"Muy alta"
-103.328140703518,20.570351758794,7.24952816627501,"Muy alta"
-103.326130653266,20.570351758794,7.1364052167246,"Muy alta"
-103.324120603015,20.570351758794,7.02650422529314,"Muy alta"
-103.322110552764,20.570351758794,6.9197097271126,"Muy alta"
-103.320100502513,20.570351758794,6.81590989236065,"Muy alta"
-103.318090452261,20.570351758794,6.71499648119789,"Alta"
-103.31608040201,20.570351758794,6.61686481402467,"Alta"
-103.314070351759,20.570351758794,6.52141374803341,"Alta"
-103.312060301508,20.570351758794,6.42854565432299,"Alta"
-103.310050251256,20.570351758794,6.33816639050929,"Alta"
-103.308040201005,20.570351758794,6.25018526669191,"Alta"
-103.306030150754,20.570351758794,6.16451500279618,"Alta"
-103.304020100503,20.570351758794,6.08107167665548,"Alta"
-103.302010050251,20.570351758794,5.99977466293058,"Alta"
-103.3,20.570351758794,5.92054656311666,"Alta"
-103.7,20.572864321608,2.73009825674308,"Baja"
-103.697989949749,20.572864321608,2.74680001837078,"Baja"
-103.695979899497,20.572864321608,2.76368454760996,"Baja"
-103.693969849246,20.572864321608,2.78075447076435,"Baja"
-103.691959798995,20.572864321608,2.7980124642736,"Baja"
-103.689949748744,20.572864321608,2.81546125658724,"Baja"
-103.687939698492,20.572864321608,2.83310363020155,"Baja"
