Colonia,NoAsignacion,Descripcion,MontoContratado,EmpresaContratista,ClaseAsigna,ZonaC,Rubro,SubRubro,FechaInicio,FechaTermino,StatusAdmvo,Control,Anio
19,067/P-AD-C04-07,CONSTRUCCION DE LINEA DE ALEJAMIENTO PARA EVITAR INUNDACIONES DE AGUAS PLUVIALES UBICADO EN LA AV. CIRCUNVALACION NORTE ENTRE LAS CALLES PEGASO Y PIRAMIDE DE TEOTIHUACAN EN LA COLONIA ARBOLEDAS,369145.03,JLB CONSTRUCCIONES S.A. DE C.V.,Obra,6,Infraestructura Urbana,Alcantarillado,11-Jun-07,11-Jul-07,Finiquitada,1,2007
360,068/P-OT-C04-07,ELABORACION DE PROYECTO PARA EL SUMINISTRO Y COLOCACION DE ALUMBRADO EN EL INTERIOR DE LA SECUNDARIA TECNICA NO. 39 UBICADA EN LA CALLE MORELOS NO. 59 EN LA COLONIA SANTA LUCIA,10819.25,CONSTRUCCIONES Y REMODELACIONES TEPEYAC S.A. DE C.V.,Estudio y/o Proyecto,RS,Equipamiento Urbano,Educacion,11-Jun-07,25-Jun-07,Finiquitada,1,2007
164,069/P-OT-C04-07,ELABORACION DE PROYECTO PARA CONSTRUCCION DE CARPETA ASFALTICA Y SELLO SLURRY SEAL SOBRE EMPEDRADO UBICADO EN LA CALLE 6 DE ENERO ENTRE AV. AVIACION Y CALLE ATOTONILCO EN LA  COLONIA HOGARES DE NUEVO MEXICO,11484.63,CONSTRUCCIONES ANAYARI S.A. DE C.V.,Estudio y/o Proyecto,3,Infraestructura Urbana,Infraestructura Vial,11-Jun-07,25-Jun-07,Finiquitada,1,2007
23,071/N-OT-C04-07,"REHABILITACION DE BEBEDEROS EN LA ESC. ""HERMENEGILDO GALEANA"" LOCALIZADA EN LA CALLE NICOLAS BRAVO #2 DE LA COLONIA ARROYO HONDO 1° SECCION.",30162.26,CONSTRUCTORA OCCIDENTAL DE MÈXICO S.A. DE C.V.,Obra,2A,Equipamiento Urbano,Educacion,11-Jun-07,11-Jul-07,Finiquitada,1,2007
360,072/N-CA-C04-07,CONSTRUCCION DE PAVIMENTO DE ADOQUIN EN CALLE MORELOS ENTRE HIDALGO Y MANUEL M. DIEGUEZ EN EL POBLADO DE STA. LUCIA,46299.18,CONSTRUCTORA AGAL S.A. DE C.V.,Convenio Adicional,RS,Infraestructura Urbana,Infraestructura Vial,11-Jun-07,25-Jun-07,Finiquitada,1,2007
360,073/N-AD-C04-07,SUMINISTRO Y COLOCACION DE ALUMBRADO EN EL INTERIOR DE LA SECUNDARIA TECNICA NO. 39 UBICADA EN LA CALLE MORELOS NO. 59 EN LA COLONIA SANTA LUCIA,154068.8,ELECON NACIONAL S.A. DE C.V.,Obra,RS,Equipamiento Urbano,Educacion,11-Jun-07,25-Jul-07,Finiquitada,1,2007
360,074/P-AD-C05-07,"PROYECTO EJECUTIVO DE UNIDADES DE SERVICIOS MEDICOS DE EMERGENCIAS Y ATENCION MATERNO-INFANTIL"" UBICADO EN LAS CALLES AV. DE LA PRESA PRIVADA DEL RIO RIO BLANCO Y SANTA MoNICA; EN LA COLONIA SANTA LUCIA.",550000,CONSTRUCTORA VICO S.A DE C.V.,Estudio y/o Proyecto,RS,Equipamiento Urbano,Salud,7-Jul-07,30-Nov-07,Finiquitada,1,2007
65,075/P-AD-C05-07,CONSTRUCCION LLAVE EN MANO DE LA ILUMINACION ARTISTICA DE LA PARROQUIA DE SAN PEDRO APOSTOL UBICADA EN EL CENTRO HISTORICO DE ZAPOPAN.,1150000,CARJAU S.A DE C.V.,Obra,1A,Equipamiento Urbano,Culto,3-Sep-07,24-Dic-07,Terminada sin Finiquitar,1,2007
371,076/P-AD-C05-07,ELABORACION DE ANTEPROYECTO ARQUITECTONICO DE LA UNIDAD ZAPOPAN ROMERO UBICADA EN LA COLONIA TEPEYAC CON LOS SIGUIENTES ALCANCES: ESTUDIOS PRELIMINARES PLAN MAESTRO GENERAL Y DESARROLLO DEL ANTEPROYECTO ARQUITECTONICO.,998839.17,ADQUADRUM DESARROLLADORES S.C.,Estudio y/o Proyecto,1B,Equipamiento Urbano,Deportes,16-Ago-07,30-Sep-07,Finiquitada,1,2007
370,077/P-AD-C05-07,ELABORACION DE ANTEPROYECTO ARQUITECTONICO DE LA UNIDAD  DEPORTIVA TABACHINES UBICADA EN LA AV. TABACHINES ESQUINA ANILLO PERIFERICO EN LA COLONIA TABACHINES  CON LOS SIGUIENTES ALCANCES: ESTUDIOS PRELIMINARES PLAN MAESTRO GENERAL Y DESARROLLO DEL ANTEPR,717513.75,AVANTE ARQUITECTOS Y ASOCIADOS S.A. DE C.V.,Estudio y/o Proyecto,2A,Equipamiento Urbano,Deportes,29-May-07,13-Jul-07,Finiquitada,1,2007
237,078/P-AD-C05-07,ELABORACION DE PROYECTO PARA LA CONSTRUCCION DE PARQUE LINEAL SOBRE EL ARROYO GRANDE DE LOS CADENAMIENTOS 0+260 AL 1+000 Y DEL 1+000 AL 1+320,276000,DOLMEN TALLER DE ARQUITECTURA S.A. DE C.V.,Estudio y/o Proyecto,7,Equipamiento Urbano,Recreacion y Esparcimiento,18-Jun-07,17-Ago-07,Finiquitada,1,2007
408,079/P-AD-C05-07,ESTUDIO DE DIAGNOSTICO DE SERVICIOS URBANOS EN LA COLONIA VILLA DE GUADALUPE,238836.6,GALJACK ARQUITECTOS Y CONSTRUCCIONES S.A. DE C.V.,Estudio y/o Proyecto,2B,Infraestructura Urbana,Otros,29-May-07,28-Jun-07,Finiquitada,1,2007
240,080/P-OT-C05-07,ESTUDIO DEL DIAGNOSTICO DE SERVICIOS URBANOS EN LA COLONIA MESA COLORADA PONIENTE,132664.575,ING. IVAN JAIME DE ALBA PADILLA,Estudio y/o Proyecto,2B,Infraestructura Urbana,Otros,29-May-07,28-Jun-07,Finiquitada,1,2007
241,083/P-OT-C05-07,ESTUDIO DEL DIAGNOSTICO DE SERVICIOS URBANOS EN LA COLONIA MESA DE LOS OCOTES,161128.8,INECO CONSTRUYE S.A. DE C.V.,Estudio y/o Proyecto,2B,Infraestructura Urbana,Otros,29-May-07,28-Jun-07,Finiquitada,1,2007
7,084/P-OT-C05-07,ELABORACION DE PROYECTO PARA LA PAVIMENTACIoN CON CONCRETO HIDRAULICO UBICADO EN LAS CALLES : VICENTE GUERRERO Y LAZARO CARDENAS ENTRE LOPEZ MATEOS Y FRANCISCO VILLA  FRANCISCO VILLA ENTRE LAZARO CARDENAS Y JOSEFA ORTIZ DE DOMiNGUEZ JOSEFA ORTIZ DE DOMi,153310.5844,GRUPO DE INGENIERIA PARA ESTUDIOS Y CONTROL DE CALIDAD S.A. DE C.V.,Estudio y/o Proyecto,8,Infraestructura Urbana,Infraestructura Vial,25-Jun-07,08-Ago-07,Finiquitada,1,2007
274,090/P-OT-C05-07,ELABORACION DE PROYECTO EJECUTIVO PARA LA CONSTRUCCION DE PUENTE VEHICULAR Y PEATONAL UBICADO EN CALLE PASEO DE LA FAMILIA Y ARROYO EL GARABATO PARALELO A CALLE SANTA EDUWIGES EN LA COLONIA PASEOS DEL BRISEniO.,73625,ING. OSCAR MARTIN RODRIGUEZ PALOS,Estudio y/o Proyecto,8,Equipamiento Urbano,Equipamiento Vial,2-Jul-07,30-Ago-07,Finiquitada,1,2007
203,092/P-OT-C05-07,ELABORACION DE PROYECTO PARA LA CONSTRUCCION DE REDES DE ALCANTARILLADO AGUA POTABLE Y PAVIMENTO DE CONCRETO HIDRAULICO UBICADO EN LA CALLE SOLERAS ENTRE LA AVENIDA INGLATERRA Y AVENIDA VALLARTA EN LA COLONIA JOCOTAN,88027.631,CONSTRUCTORA LOISOR S.A. DE C.V.,Estudio y/o Proyecto,5A,Infraestructura Urbana,Infraestructura Vial,4-Jun-07,3-Jul-07,Finiquitada,1,2007
399,095/P-OT-C05-07,PROYECTO DE ADECUACION POR REUBICACION DE LA PLANTA DE TRANSFERENCIA DE RESIDUOS SOLIDOS UBICADA EN LOS CRUCES DE LATERAL DEL ANILLO PERIFERICO Y LA CALLE MELCHOR OCAMPO EN LA COLONIA EL VIGIA,241500,KENZO CONCRETO ARMADO S.A DE C.V,Estudio y/o Proyecto,1B,Equipamiento Urbano,Ecologia,31-Jul-07,29-Sep-07,Finiquitada,1,2007
