"","colonia","dia.sem","long","lat","n"
"256","LOMA BONITA EJIDAL","Wed",-103.40440688,20.626603872,5
"257","LOMA BONITA RESIDENCIAL","Sat",-103.40527596,20.63768502,5
"258","LOMAS DE LA PRIMAVERA","Fri",-103.4722089,20.643103012,5
"259","LOMAS DE ZAPOPAN","Thu",-103.40098442,20.744551986,5
"260","LOMAS DE ZAPOPAN","Tue",-103.39963758,20.743422702,5
"261","MARCELINO GARCIA BARRAGAN","Thu",-103.44520628,20.771239914,5
"262","MARTINICA LA","Tue",-103.36678046,20.749327544,5
"263","MESA COLORADA PONIENTE","Fri",-103.34407294,20.770254796,5
"264","MESA COLORADA PONIENTE","Thu",-103.34767228,20.770406526,5
"265","MIGUEL HIDALGO","Sat",-103.34099772,20.74714134,5
"266","MIRADOR DE SAN ISIDRO","Wed",-103.39046504,20.758017028,5
"267","MIRADOR DEL SOL","Thu",-103.42177282,20.653692854,5
"268","NUEVO MEXICO","Sat",-103.43649968,20.759629176,5
"269","NUEVO MEXICO","Tue",-103.44085724,20.76354184,5
"270","PALMITA LA","Tue",-103.35504752,20.729400608,5
"271","PASEOS DEL SOL","Sun",-103.43079932,20.638209248,5
"272","PLAZA PATRIA","Mon",-103.37811672,20.712422288,5
"273","PLAZA PATRIA","Sat",-103.37839572,20.712191394,5
"274","PLAZA PATRIA","Tue",-103.37816452,20.712261428,5
"275","PLAZA SAN ISIDRO","Mon",-103.3860771,20.741291984,5
"276","PRADOS VALLARTA","Thu",-103.41756204,20.675830982,5
"277","PRIMAVERA LA","Mon",-103.56655024,20.725101956,5
"278","RESIDENCIAL PATRIA","Sat",-103.37528816,20.713518386,5
"279","RESIDENCIAL VICTORIA","Mon",-103.39971376,20.645199788,5
"280","SAN ISIDRO EJIDAL","Fri",-103.39749218,20.728748242,5
"281","SANTA LUCIA","Fri",-103.49718948,20.802484952,5
"282","SANTA MARGARITA","Sun",-103.41343742,20.72832595,5
"283","SEATTLE","Wed",-103.37621024,20.719538338,5
"284","TUZANIA LA","Wed",-103.41434926,20.73612613,5
"285","VENTA DEL ASTILLERO LA","Tue",-103.54280168,20.728100218,5
"286","VILLAS DE GUADALUPE","Sat",-103.34149262,20.752304298,5
"287","AGRICOLA","Mon",-103.43269995,20.6159968425,4
"288","ALTAGRACIA","Wed",-103.392882625,20.7422383875,4
"289","ANGELES DE NEXTIPAC LOS","Sun",-103.498440025,20.78973055,4
"290","ARCOS DE GUADALUPE","Mon",-103.432798675,20.6640932525,4
"291","ARCOS DE GUADALUPE","Sat",-103.436020225,20.6652353475,4
"292","ARCOS DE GUADALUPE","Wed",-103.434165975,20.6657568175,4
"293","ARROYO HONDO","Tue",-103.344747725,20.7393245575,4
"294","ATEMAJAC DEL VALLE","Sun",-103.3572114,20.7202573775,4
"295","ATEMAJAC DEL VALLE","Tue",-103.35254215,20.7192725475,4
"296","BALCONES DE LA CANTERA","Wed",-103.353353325,20.7428942075,4
"297","BENITO JUAREZ NORTE","Fri",-103.338494725,20.738425325,4
"298","BOSQUE DE LA PRIMAVERA","Sat",-103.580474275,20.70163158,4
"299","BRISAS DE LA PRIMAVERA","Fri",-103.478199475,20.648365845,4
"300","BUGAMBILIAS","Sun",-103.4505761,20.6034577775,4
"301","BUGAMBILIAS","Thu",-103.4453648,20.6001819725,4
"302","BUGAMBILIAS","Wed",-103.442474125,20.603725615,4
"303","CAJETES LOS","Wed",-103.424362925,20.59041067,4
"304","CAMICHINES VALLARTA","Sat",-103.4295853,20.67945094,4
"305","CANTERAS DEL CENTINELA","Sat",-103.382538075,20.76443606,4
"306","CAPULLO EL","Thu",-103.384600525,20.7193698425,4
"307","CAPULLO EL","Wed",-103.384859125,20.720252225,4
"308","CHAPALITA","Sat",-103.407494875,20.6650044225,4
"309","CHAPALITA","Wed",-103.4048309,20.664850755,4
"310","CIUDAD GRANJA","Thu",-103.447458725,20.6807531,4
"311","COLINAS DE LAS AGUILAS","Tue",-103.409085775,20.6235336475,4
"312","COLLI CTM","Mon",-103.43007395,20.649099635,4
"313","COLLI CTM","Thu",-103.4280422,20.64918141,4
"314","CONJUNTO LAURELES","Mon",-103.3872966,20.73323066,4
"315","CONJUNTO LAURELES","Tue",-103.3871344,20.7334060325,4
"316","CONJUNTO LAURELES","Wed",-103.386589025,20.733031685,4
"317","CONJUNTO PATRIA","Mon",-103.3784929,20.715325415,4
"318","CORONILLA LA","Mon",-103.329045375,20.7581196925,4
"319","DIVISION DEL NORTE","Mon",-103.353866275,20.7326144825,4
"320","EMILIANO ZAPATA","Mon",-103.3651758,20.7503389525,4
"321","FRANCISCO SARABIA","Sat",-103.4325587,20.612315125,4
"322","GIRALDA LA","Wed",-103.405147425,20.6463965975,4
"323","GUADALUPE INN","Tue",-103.44591865,20.660130365,4
"324","HOGARES DE NUEVO MEXICO","Fri",-103.42542705,20.7642178675,4
"325","HUMEDO EL","Wed",-103.495346625,20.7941121875,4
"326","JARDIN REAL","Sat",-103.4361596,20.73311197,4
"327","JARDINES DE GUADALUPE","Mon",-103.42023685,20.66513211,4
"328","JARDINES DE GUADALUPE","Tue",-103.4219399,20.664017885,4
"329","JARDINES DE LA PATRIA","Fri",-103.41882775,20.68351656,4
"330","JARDINES DE LA PATRIA","Wed",-103.42016785,20.68343373,4
"331","JARDINES DE SAN IGNACIO","Thu",-103.403668425,20.672134865,4
"332","JARDINES DE SAN IGNACIO","Tue",-103.404147875,20.670690205,4
"333","JARDINES DEL VALLE","Fri",-103.4329289,20.7488467575,4
"334","JARDINES DEL VERGEL","Thu",-103.371193275,20.7492143725,4
"335","JARDINES SEATTLE","Tue",-103.3704163,20.7228889475,4
"336","JARDINES UNIVERSIDAD","Sat",-103.421748425,20.68835631,4
"337","JARDINES UNIVERSIDAD","Tue",-103.420817,20.68915356,4
"338","JOCOTAN","Thu",-103.438457725,20.6850882225,4
"339","LOMA BONITA","Wed",-103.409062925,20.641177105,4
"340","LOMAS ALTAS","Wed",-103.410405225,20.6856570025,4
"341","LOMAS DE ATEMAJAC","Fri",-103.361351525,20.715617305,4
"342","LOMAS DE ATEMAJAC","Mon",-103.3635623,20.71468141,4
"343","LOMAS DE ATEMAJAC","Wed",-103.36129015,20.713666475,4
"344","LOMAS DE SAN GONZALO","Sat",-103.434847625,20.77180451,4
"345","LOMAS DE TABACHINES","Sat",-103.36024495,20.7500212275,4
"346","LOMAS DE TABACHINES","Sun",-103.35667645,20.7479988925,4
"347","LOMAS DE TABACHINES","Wed",-103.360088,20.747383645,4
"348","LOMAS DE ZAPOPAN","Fri",-103.4016814,20.7461449725,4
"349","LOMAS DE ZAPOPAN","Mon",-103.399331025,20.747911155,4
"350","LOMAS DEL BATAN","Wed",-103.3507971,20.72478927,4
"351","LOMAS DEL CENTINELA","Fri",-103.3658031,20.760120295,4
"352","LOMAS DEL CENTINELA","Sun",-103.364117825,20.760992215,4
"353","LOMAS UNIVERSIDAD","Mon",-103.431223575,20.6844793875,4
"354","MANTE EL","Sat",-103.425285325,20.6095906775,4
